Deptment,Nombre d'inscrits,Nombre de votant,Nombre D'abs. /B.Nuls,Madické NIANG,Macky SALL,Idrissa SECK,Ousmane SONKO,El'hadji Issa SALL
DAGANA,14281,7106,7175,73,4934,1050,830,219
PODOR,207955,136336,71619,509,127332,2823,4764,908
SAINT LOUIS,162690,109455,53235,3160,62788,17404,18632,7471
,,,,,,,,
BOUNKILING,58448,37883,20565,255,23385,1105,12605,533
GOUDOMP,68584,46195,22389,770,23343,4435,17012,635
SEDHIOU,66023,43142,22881,680,23414,3808,14833,407
,,,,,,,,
KANEL,108113,70106,38007,192,65679,1364,2562,309
MATAM,141286,99448,41838,286,92650,2241,3690,581
RANEROU FERLO,24315,16150,8165,137,14827,582,482,122
,,,,,,,,
LOUGA,175467,120875,54592,2344,73514,19788,9612,15617
LINGUERE,118302,79276,39026,1859,64291,5857,5666,1603
KEBEMER,103003,80298,22705,2076,42214,26719,5121,4168
TOTAL,396772,280449,116323,6279,180019,52364,20399,21388
,,,,,,,,
MEDINA YORO FOULAH,40366,27720,12646,396,19992,2888,4133,311
VELINGARA,99787,68407,31380,966,47551,8106,10423,1361
KOLDA,89246,58802,30444,1042,36927,6245,13839,749
,,,,,,,,
GUINGUINEO,50445,33673,16772,555,21723,5786,2964,2645
NIORO DU RIP,93433,92238,1195,1264,72463,7180,9825,1506
KAOLACK,237311,150398,86913,2041,100146,21226,22717,4268
,,,,,,,,
BIRKILANE,46459,31191,15268,583,22854,3309,3392,1053
KOUNGHEUL,68248,42923,25325,442,33728,5020,2848,885
MALEM HODAR,54818,24472,30346,345,18926,2518,1285,1398
KAFFRINE,80823,54818,26005,731,38874,6513,5294,3406
,,,,,,,,
SALEMATA,10277,6560,3717,309,4525,1062,589,75
KEDOUGOU,37202,22617,14585,377,16153,2494,3269,324
SARAYA,17688,11088,6600,226,7122,1383,2082,275
,,,,,,,,
FATICK,149485,96578,52907,671,80906,5188,9325,488
FOUNDIOUGNE,118747,77261,41486,771,62373,5103,7905,1109
GOSSAS,38665,27580,11085,435,20292,4299,2036,518
,,,,,,,,
MBACKE,364826,222552,142274,9963,67745,129724,12686,2434
BAMBEY,113541,71799,41742,1607,38907,25413,4745,1127
DIOURBEL,110648,70791,39857,1093,40502,22019,6300,877
,,,,,,,,
GUEDIAWAYE,195332,133592,61740,1977,65174,35646,24243,6552
PIKINE,573844,377740,196104,6601,183630,90388,74255,22866
RUFISQUE,255630,184147,71483,2273,100632,34892,30186,16164
DAKAR,663020,453278,209742,5646,212355,115612,101003,18662
,,,,,,,,
KOUMPENTOUM,40839,29582,11257,580,20220,4613,3652,517
TAMBACOUNDA,92183,68465,23718,1072,49502,5383,11323,1185
BAKEL,60479,34409,26070,471,25723,2908,4888,419
GOUDIRY,44739,42923,1816,442,33728,5020,2848,885
,,,,,,,,
THIES,363482,254627,108855,2312,100422,120054,19737,12102
MBOUR,308750,208260,100490,2026,130130,35048,29609,11447
TIVAOUANE,162930,161711,1219,2054,79757,55966,9836,14098
,,,,,,,,
ZIGUINCHOR,125154,77622,47532,510,32846,2419,41291,556
OUSSOUYE,29752,18654,11098,101,8707,406,9209,231
BIGNONA,128489,81794,46695,377,27398,2169,51438,412
TOTAL,283395,178070,105325,988,68951,4994,101938,1199
,,,,,,,,
AFRIQUE DU SUD,2432,1827,605,12,888,219,605,103
ALLEMAGNE,1152,590,562,7,217,71,283,12
ANGLETERRE,1397,722,675,7,189,122,367,37
ANGOLA,--,--,--,--,--,--,--,--
,,,,,,,,
CAMEROUN,2943,1723,1220,15,1196,321,176,15
CANADA,--,--,--,--,--,--,--,--
CAP VERT,2152,1062,1090,10,321,308,394,29
CHINE,224,95,129,2,54,7,30,2
,,,,,,,,
FINLANDE,--,--,--,--,--,--,--,--
FRANCE,62163,29052,33111,164,14238,2635,11576,439
GABON,--,--,--,--,--,--,--,--
GAMBIE,--,--,--,--,--,--,--,--
,,,,,,,,
LIBAN,--,--,--,--,--,--,--,--
LUXEMBOURG,--,--,--,--,--,--,--,--
MALI,--,--,--,--,--,--,--,--
MAROC,9524,3539,5985,23,954,641,1714,207
,,,,,,,,
PORTUGAL,949,375,574,5,138,62,158,12
REP. DEM. CONGO,320,166,154,2,122,7,34,1
REPUBLIQUE DU CONGO,11318,6218,5100,47,5583,242,334,12
SUEDE,--,--,--,--,--,--,--,--
